BSN;Name;PLZ;Adresse;Telefon;Fax;eMail;Internet
01A04;Berlin-Kolleg;10551;Turmstr. 75;901838210;901838222;leitung@berlin-kolleg.de;http://www.berlin-kolleg.de
01B01;OSZ Banken, Immobilien und Versicherungen;10557;Alt-Moabit 10;398840;39884119;mail@osz-biv.de;http://www.osz-biv.de
01B02;Staatliche Technikerschule Berlin;10555;Bochumer Str. 8 B;3900060;39000682;info@technikerschule-berlin.de;http://www.technikerschule-berlin.de
01B03;OSZ Kommunikations-, Informations- und Medientechnik;13359;Osloer Str. 23-26;493070;49307100;verwaltung@oszkim.de;http://www.oszkim.de
01B04;OSZ Gesundheit I;13349;Schwyzer Str. 6-8;4530800;45308077;sekretariat@osz-gesundheit.de;http://www.osz-gesundheit.de
01B05;Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin;10117;Niederwallstr. 6-7;20613130;20613131;info@hotelfachschule-berlin.de;http://www.hotelfachschule-berlin.de
01E03;ETI Schauspielschule Berlin;10179;Rungestr. 20;27593109;27593110;mail@eti-berlin.de;http://www.eti-berlin.de
01E08;Games Academy;10179;Rungestr. 20;29779120;29779150;info@games-academy.de;http://games-academy.de
01E10;SiliconStudioAcademy Berlin;13347;Groninger Str. 25 (Gewerbehöfe);45601331;45601333;info@siliconstudio.de;http://www.siliconstudio.de
01E12;SSI am Alex Institut für Tourismus und Marketing;10178;Panoramastr. 1;28045379;28045381;ssiamalex@aol.com;http://www.ssi-berlin.de
01E13;Seminar für Waldorfpädagogik Berlin e.V.;10178;Weinmeisterstr. 16;6187073;27891878;info@waldorfseminar.berlin;http://waldorfseminar.berlin
01E16;ProInform International Academy Berlin;10117;Friedrichstr. 200;22334433;24535982;proinform@arcor.de; 
01E20;Pflegeschule am Brandenburger Tor;10117;Wilhelmstr. 88;22489965;22489967;pflegedienst@01019freenet.de; 
01E25;GPB Gesellschaft für Personalentwicklung und Bildung mbH;10117;Beuthstr. 7-8;9339480;93772355;beratung@gpb.de;http://www.gpb.de
01E26;Berlitz Sprachschule Berlin Mitte;10117;Friedrichstr. 95;2042124;2042161;berlin4@berlitz.de;http://www.berlitz.de/berlin
01E27;pixelapostel GmbH;10553;Wiebestr. 46;667767630;6677676316; ;http://www.pixelapostel.de
01E28;lingua franca;10117;Mauerstr. 77;86398080;86398082;info@lingua-franca.de;http://www.lingua-franca.de
01E29;inlingua Sprachcenter Berlin GmbH;10117;Kronenstr. 55;88471190;884711999;info@inlingua-berlin.de;http://www.inlingua-berlin.de
01E31;Maskenbildnerschule Hasso von Hugo GmbH;10785;Lützowstr. 105;6135620;6135720;kontakt@maskenbildnerschule.de;http://www.maskenbildnerschule.de
01E32;Wave Akademie für Digitale Medien UG (haftungsbeschränkt);10115;Strelitzer Str. 60;28869519;28869486;info@wave-akademie.de;http://www.wave-akademie.de
01E33;Kosmetikcollege-Inspiration;10117;Französische Str. 28;81493664;68408288;info@inspiration-kosmetikcollege.de;http://www.inspiration-kosmetikcollege.de
01E34;Berlin Metropolitan School;10115;Linienstr. 122-124;88727390;887273920;info@metropolitanschool.com;http://www.metropolitanschool.com/en/home.html
01E35;NEUE Schule für Fotografie Berlin;10119;Brunnenstr. 188-190;28046862; ;info@neue-schule-berlin.com;http://www.neue-schule-berlin.com
01E36;Danceworks berlin eG;13347;Oudenarder Straße 16,;78892887;78892885;info@danceworks-ev.de;http://www.danceworks-ev.de
01G01;Grundschule am Arkonaplatz;10115;Ruppiner Str. 47-48;48625680;486256820;sekretariat@arkonaplatz.schule.berlin.de;http://www.grundschuleamarkonaplatz.de
01G02;Papageno-Grundschule;10115;Bergstr. 58;30881711;30881710;sekretariat@papageno-grundschule.de;http://www.papageno-grundschule.de
